metric,value
total_rows,3771
distinct_symbols,826
distinct_dates,538
date_min,2021-11-02
date_max,2024-12-30
train_rows,2114
test_rows,1657
avg_articles_per_symbol,4.57
avg_symbols_per_date,1.92
price_rows_raw,1137837
price_rows_clean,1135363
price_mean_return,-0.0017
price_std_return,0.0714
model_mse,0.017
model_corr,0.1892
model_dir_acc,0.5444
headline_model_dir_acc,0.5474
signal_buy_count,324
signal_sell_count,1029
signal_hold_count,304
portfolio_ls_any_final,5.9131
portfolio_ls_1pct_final,10.041
portfolio_equal_wt_final,-0.8668
active_trade_days,186
test_return_mean,-0.0119
test_return_std,0.0726
test_return_min,-0.2573
test_return_max,0.4237
